Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board
-5614.691151939768,-187500.02235174447,8125.775531026785,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7807171
-5620.770826431612,-187500.02235174447,8121.6851617914635,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7847183
-5586.729119626179,-187500.02235174447,8129.687086306463,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7887485
-5576.357910198916,-187500.02235174447,8132.883385763573,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.7937512
-5607.53859371407,-187500.02235174447,8116.767778011296,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.797752
-5623.92242239981,-187500.02235174447,8106.664789517497,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8007758
-5602.889430867366,-187500.02235174447,8112.766815753796,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8047354
-5566.0090525161095,-187500.02235174447,8127.586022327665,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8086824
-5589.3666254719055,-187500.02235174447,8115.896059977539,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8127177
-5627.655163723846,-187500.02235174447,8097.612333013098,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.816622
-5616.613401962924,-187500.02235174447,8105.815423228196,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8207166
-5582.10230852393,-187500.02235174447,8138.024286988293,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.825838
-5598.687302909769,-187500.02235174447,8130.871728762595,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8286936
-5647.637623266891,-187500.02235174447,8098.193478368936,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8327785
-5630.784407947589,-187500.02235174447,8100.428652814467,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8366275
-5574.05568052002,-187500.02235174447,8121.528699580276,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8407388
-5575.955578798721,-187500.02235174447,8131.050542718237,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8446417
-5621.01669562062,-187500.02235174447,8112.699760520431,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8487391
-5626.962259645732,-187500.02235174447,8106.038940672749,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.853815
-5577.587256143958,-187500.02235174447,8126.3790281270785,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8565948
-5553.581482598959,-187500.02235174447,8124.724999037386,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8607566
-5616.412236262827,-187500.02235174447,8103.043806915737,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.864768
-5642.943756931277,-187500.02235174447,8104.809594727707,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8688216
-5587.511430682115,-187500.02235174447,8115.940763466449,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8727765
-5552.262729676096,-187500.02235174447,8113.459719831911,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8767283
-5596.161555786319,-187500.02235174447,8092.516135277288,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8808136
-5645.35774533245,-187500.02235174447,8105.346036594634,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8839705
-5606.398654746849,-187500.02235174447,8134.827987531185,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8889327
-5567.059584505509,-187500.02235174447,8138.1807491994805,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8928587
-5600.095462810453,-187500.02235174447,8114.89023147705,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.8969252
-5633.667782982324,-187500.02235174447,8099.288713847246,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9009416
-5604.811680890522,-187500.02235174447,8105.256629616813,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9049435
-5569.495924651137,-187500.02235174447,8113.638533787554,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9089186
-5592.272352251095,-187500.02235174447,8101.210963870402,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9118342
-5635.075942883008,-187500.02235174447,8082.4578502724,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9166825
-5609.259678037129,-187500.02235174447,8099.445176058433,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9208212
-5565.047927504531,-187500.02235174447,8116.007818699815,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9249055
-5582.437584690761,-187500.02235174447,8117.013647200304,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.928723
-5608.8573466369335,-187500.02235174447,8101.210963870402,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9328961
-5592.428814462282,-187500.02235174447,8098.595809769132,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9368193
-5569.0041862731205,-187500.02235174447,8119.9864292128605,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9399016
-5586.639712648358,-187500.02235174447,8123.495653092344,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9439173
-5628.482178268692,-187500.02235174447,8102.239144115347,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9489105
-5628.593936990969,-187500.02235174447,8103.401434827022,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.952964
-5587.422023704294,-187500.02235174447,8117.371275111589,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9569523
-5579.196581744741,-187500.02235174447,8117.661847789508,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9609475
-5619.0720938530085,-187500.02235174447,8101.680350503964,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9639497
-5629.01862013562,-187500.02235174447,8101.523888292777,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9679446
-5584.337482969461,-187500.02235174447,8108.6540947740195,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.972041
-5567.10428799442,-187500.02235174447,8096.785318468252,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9769404
-5609.192622803763,-187500.02235174447,8088.090489875137,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.981048
-5631.656125981346,-187500.02235174447,8102.932048193461,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452288.9850533
