x,y,z,time_board,time_marker,marker
0.0,0.0,0.0,1728432658.8656404,1728432656.4636812,1000
0.026000000000000002,-0.158,0.998,1728432659.3490555,1728432661.5939682,2000
0.026000000000000002,-0.158,0.998,1728432659.3496475,1728432661.5939682,2000
0.026000000000000002,-0.158,0.998,1728432659.3496654,1728432661.5939682,2000
0.026000000000000002,-0.158,0.998,1728432659.3496807,1728432661.5939682,2000
0.026000000000000002,-0.158,0.998,1728432659.3496945,1728432661.5939682,2000
0.026000000000000002,-0.158,0.998,1728432659.349708,1728432661.5939682,2000
0.026000000000000002,-0.158,0.998,1728432659.349722,1728432661.5939682,2000
0.05,-0.184,0.998,1728432659.3497362,1728432661.5939682,2000
0.05,-0.184,0.998,1728432659.34975,1728432661.5939682,2000
0.05,-0.184,0.998,1728432659.3497636,1728432661.5939682,2000
0.05,-0.184,0.998,1728432659.3497775,1728432661.5939682,2000
0.05,-0.184,0.998,1728432659.3497915,1728432661.5939682,2000
0.05,-0.184,0.998,1728432659.3498056,1728432661.5939682,2000
0.05,-0.184,0.998,1728432659.3498194,1728432661.5939682,2000
0.05,-0.184,0.998,1728432659.349833,1728432661.5939682,2000
0.05,-0.184,0.998,1728432659.349866,1728432661.5939682,2000
0.05,-0.184,0.998,1728432659.3498783,1728432661.5939682,2000
0.014,-0.184,0.962,1728432659.3498907,1728432661.5939682,2000
0.014,-0.184,0.962,1728432659.349903,1728432661.5939682,2000
0.014,-0.184,0.962,1728432659.3499155,1728432661.5939682,2000
0.014,-0.184,0.962,1728432659.3499281,1728432661.5939682,2000
0.014,-0.184,0.962,1728432659.349955,1728432661.5939682,2000
0.014,-0.184,0.962,1728432659.3499675,1728432661.5939682,2000
0.014,-0.184,0.962,1728432659.34998,1728432661.5939682,2000
0.014,-0.184,0.962,1728432659.3499928,1728432661.5939682,2000
0.014,-0.184,0.962,1728432659.350005,1728432661.5939682,2000
0.014,-0.184,0.962,1728432659.350017,1728432661.5939682,2000
0.012,-0.244,1.05,1728432659.3500297,1728432661.5939682,2000
0.012,-0.244,1.05,1728432659.350042,1728432661.5939682,2000
0.012,-0.244,1.05,1728432659.3500545,1728432661.5939682,2000
0.012,-0.244,1.05,1728432659.3500664,1728432661.5939682,2000
0.012,-0.244,1.05,1728432659.3500788,1728432661.5939682,2000
0.012,-0.244,1.05,1728432659.3500912,1728432661.5939682,2000
0.012,-0.244,1.05,1728432659.3501034,1728432661.5939682,2000
0.012,-0.244,1.05,1728432659.3501155,1728432661.5939682,2000
0.012,-0.244,1.05,1728432659.3501284,1728432661.5939682,2000
0.012,-0.244,1.05,1728432659.3501408,1728432661.5939682,2000
0.06,-0.15,0.996,1728432659.3501532,1728432661.5939682,2000
0.06,-0.15,0.996,1728432659.3501651,1728432661.5939682,2000
0.06,-0.15,0.996,1728432659.350178,1728432661.5939682,2000
0.06,-0.15,0.996,1728432659.3501904,1728432661.5939682,2000
0.06,-0.15,0.996,1728432659.3502023,1728432661.5939682,2000
0.06,-0.15,0.996,1728432659.3502188,1728432661.5939682,2000
0.06,-0.15,0.996,1728432659.3502314,1728432661.5939682,2000
0.06,-0.15,0.996,1728432659.350244,1728432661.5939682,2000
0.06,-0.15,0.996,1728432659.350256,1728432661.5939682,2000
0.06,-0.15,0.996,1728432659.3502684,1728432661.5939682,2000
-0.004,-0.298,1.022,1728432659.3502808,1728432661.5939682,2000
-0.004,-0.298,1.022,1728432659.3502932,1728432661.5939682,2000
-0.004,-0.298,1.022,1728432659.3503056,1728432661.5939682,2000
-0.004,-0.298,1.022,1728432659.3503196,1728432661.5939682,2000
-0.004,-0.298,1.022,1728432659.350332,1728432661.5939682,2000
-0.004,-0.298,1.022,1728432659.3503444,1728432661.5939682,2000
-0.004,-0.298,1.022,1728432659.3503563,1728432661.5939682,2000
-0.004,-0.298,1.022,1728432659.3503687,1728432661.5939682,2000
-0.004,-0.298,1.022,1728432659.3503811,1728432661.5939682,2000
-0.004,-0.298,1.022,1728432659.3503935,1728432661.5939682,2000
0.018000000000000002,-0.23800000000000002,1.03,1728432659.3504057,1728432661.5939682,2000
0.018000000000000002,-0.23800000000000002,1.03,1728432659.3504183,1728432661.5939682,2000
0.018000000000000002,-0.23800000000000002,1.03,1728432659.350432,1728432661.5939682,2000
0.018000000000000002,-0.23800000000000002,1.03,1728432659.3504448,1728432661.5939682,2000
0.018000000000000002,-0.23800000000000002,1.03,1728432659.3504572,1728432661.5939682,2000
0.018000000000000002,-0.23800000000000002,1.03,1728432659.3504696,1728432661.5939682,2000
0.018000000000000002,-0.23800000000000002,1.03,1728432659.3504865,1728432661.5939682,2000
0.018000000000000002,-0.23800000000000002,1.03,1728432659.350499,1728432661.5939682,2000
0.018000000000000002,-0.23800000000000002,1.03,1728432659.350511,1728432661.5939682,2000
0.018000000000000002,-0.23800000000000002,1.03,1728432659.350524,1728432661.5939682,2000
