Fp1,C3,time_board,time_marker,marker
"31716,678347191617","1445,6214243914396","1730328071,4725204","1730328071,4696314",2000
"31758,61021978977","1466,2744362681433","1730328071,476648","1730328071,4696314",2000
"31783,018324734967","1421,6603543353503","1730328071,4805672","1730328071,4696314",2000
"31738,33718756881","1387,8421649744707","1730328071,4857428","1730328071,4696314",2000
"31712,587977956293","1425,8624822929482","1730328071,4886065","1730328071,4696314",2000
"31752,932876698123","1464,3968897338975","1730328071,492689","1730328071,4696314",2000
"31789,120350971265","1434,289089952599","1730328071,4966187","1730328071,4696314",2000
"31748,842507462803","1390,032635931091","1730328071,5005894","1730328071,4696314",2000
"31709,637547688195","1419,4698833787304","1730328071,5047035","1730328071,4696314",2000
"31735,38675730071","1463,1004885554896","1730328071,508604","1730328071,4696314",2000
"31782,571289845862","1438,0441830210905","1730328071,5136766","1730328071,4696314",2000
"31767,61797280526","1398,638057546384","1730328071,5166876","1730328071,4696314",2000
"31721,14869608268","1413,7925402870824","1730328071,5206506","1730328071,4696314",2000
"31742,271094592943","1465,8050496345818","1730328071,5247796","1730328071,4696314",2000
"31776,67042930966","1445,0179272911464","1730328071,5288155","1730328071,4696314",2000
"31775,32932464234","1403,0413512040795","1730328071,5328507","1730328071,4696314",2000
"31733,173934599632","1411,7138280527388","1730328071,5365956","1730328071,4696314",2000
"31728,144792097188","1457,736069886216","1730328071,5408628","1730328071,4696314",2000
"31774,99404847552","1456,640834407906","1730328071,5447536","1730328071,4696314",2000
"31781,54310960092","1406,282354150099","1730328071,5476696","1730328071,4696314",2000
"31739,52183002494","1405,1871186717892","1730328071,5528216","1730328071,4696314",2000
"31722,132172838712","1446,0908110250011","1730328071,5568976","1730328071,4696314",2000
"31764,980466959536","1456,640834407906","1730328071,5608692","1730328071,4696314",2000
"31782,81715903487","1411,8255867750154","1730328071,5646667","1730328071,4696314",2000
"31744,953303927578","1403,0189994596244","1730328071,5689142","1730328071,4696314",2000
"31732,30221656588","1457,9819390752243","1730328071,5717058","1730328071,4696314",2000
"31752,61995227575","1463,1675437888557","1730328071,5759337","1730328071,4696314",2000
"31775,418731620164","1419,8275112900153","1730328071,579837","1730328071,4696314",2000
"31739,49947828049","1395,7323307671943","1730328071,5847228","1730328071,4696314",2000
"31723,24976006148","1439,7429155996938","1730328071,5886984","1730328071,4696314",2000
"31758,409054089672","1469,4260322363416","1730328071,592697","1730328071,4696314",2000
"31778,503272355","1430,221072461733","1730328071,5967388","1730328071,4696314",2000
"31751,85999296427","1395,061778433535","1730328071,5999253","1730328071,4696314",2000
"31724,434402517607","1434,154979485867","1730328071,6038923","1730328071,4696314",2000
"31744,70743473857","1474,9245613723472","1730328071,608905","1730328071,4696314",2000
"31773,272964152453","1439,027659777124","1730328071,612944","1730328071,4696314",2000
"31761,58300180233","1396,9169732233254","1730328071,6169736","1730328071,4696314",2000
"31724,21088507305","1414,418389131831","1730328071,620963","1730328071,4696314",2000
"31736,28082707892","1471,2365235372215","1730328071,6240168","1730328071,4696314",2000
"31776,938650243123","1460,932369343325","1730328071,6279905","1730328071,4696314",2000
"31768,48969083902","1403,7789587711047","1730328071,6320062","1730328071,4696314",2000
"31727,116611852245","1415,1112932099454","1730328071,6360176","1730328071,4696314",2000
"31728,23419907501","1468,0625758245678","1730328071,640061","1730328071,4696314",2000
"31773,027094963443","1467,995520591202","1730328071,6440463","1730328071,4696314",2000
"31774,50231009749","1410,7750547856158","1730328071,6478832","1730328071,4696314",2000
"31736,772565456937","1407,0199617171245","1730328071,6530426","1730328071,4696314",2000
"31726,98250138551","1461,513514699163","1730328071,656968","1730328071,4696314",2000
"31768,422635605653","1478,76906141866","1730328071,6610577","1730328071,4696314",2000
"31785,16409220268","1427,4718078937303","1730328071,663828","1730328071,4696314",2000
"31737,15254511268","1403,153109926356","1730328071,6679728","1730328071,4696314",2000
"31717,99710011448","1450,2035320047776","1730328071,6718912","1730328071,4696314",2000
"31758,56551630086","1481,183049819833","1730328071,6760118","1730328071,4696314",2000
"31783,308897412888","1439,050011521579","1730328071,6808715","1730328071,4696314",2000
"31746,13794638371","1404,829490760504","1730328071,6850352","1730328071,4696314",2000
"31723,45092576157","1448,415392448353","1730328071,6889155","1730328071,4696314",2000
"31747,680216751127","1483,3958725209086","1730328071,691866","1730328071,4696314",2000
"31781,878385767748","1448,7059651262718","1730328071,6960728","1730328071,4696314",2000
"31753,35755984277","1405,678857049806","1730328071,7001011","1730328071,4696314",2000
"31718,846466403786","1435,607842875462","1730328071,704152","1730328071,4696314",2000
"31744,59567601629","1483,1052998429896","1730328071,7081244","1730328071,4696314",2000
"31778,547975843907","1458,9877675757132","1730328071,7131484","1730328071,4696314",2000
"31762,253554135987","1415,6253833324174","1730328071,716128","1730328071,4696314",2000
"31720,99223387149","1433,5514823855738","1730328071,7201445","1730328071,4696314",2000
"31733,06217587736","1487,374483033953","1730328071,724152","1730328071,4696314",2000
"31760,57717330184","1460,6194449209506","1730328071,72814","1730328071,4696314",2000
"31757,582039544828","1407,9810867287024","1730328071,732124","1730328071,4696314",2000
"31719,986405371","1419,3581246564538","1730328071,7361512","1730328071,4696314",2000
"31725,26141706245","1473,4046427493863","1730328071,7409947","1730328071,4696314",2000
"31765,874536737745","1471,5494479595957","1730328071,7440135","1730328071,4696314",2000
"31769,69668503961","1421,2133194462442","1730328071,74797","1730328071,4696314",2000
"31729,21767583104","1414,3736856429202","1730328071,7521667","1730328071,4696314",2000
"31720,075812348823","1469,895418869903","1730328071,7560103","1730328071,4696314",2000
"31761,024208190946","1486,0780818555454","1730328071,760134","1730328071,4696314",2000
"31762,074740180346","1424,9460607702806","1730328071,764001","1730328071,4696314",2000
"31728,99415838649","1407,846976261971","1730328071,7690449","1730328071,4696314",2000
"31713,66086169015","1455,5232471851407","1730328071,7719886","1730328071,4696314",2000
"31749,937742941114","1484,5134597436738","1730328071,776121","1730328071,4696314",2000
"31781,74427530101","1445,6884796248055","1730328071,7801342","1730328071,4696314",2000
"31737,823097446337","1399,353313368954","1730328071,78419","1730328071,4696314",2000
"31704,720163908027","1438,4241626768307","1730328071,78833","1730328071,4696314",2000
"31741,242914348","1488,5814772345398","1730328071,7921195","1730328071,4696314",2000
"31778,39151363272","1451,566988416551","1730328071,7971551","1730328071,4696314",2000
"31754,117519154253","1402,9295924818032","1730328071,8002183","1730328071,4696314",2000
"31716,07485009132","1432,9479852852803","1730328071,804253","1730328071,4696314",2000
"31733,28569332191","1484,2899422991209","1730328071,8082752","1730328071,4696314",2000
"31765,20398440409","1455,120915784945","1730328071,8122723","1730328071,4696314",2000
"31757,49263256701","1409,836281518493","1730328071,8163188","1730328071,4696314",2000
"31726,043728118388","1431,316307940043","1730328071,8203375","1730328071,4696314",2000
"31724,1885333286","1475,8856863839253","1730328071,8242085","1730328071,4696314",2000
"31761,001856446488","1467,3249682575429","1730328071,828155","1730328071,4696314",2000
"31762,9464582141","1419,5592903565516","1730328071,831088","1730328071,4696314",2000
"31721,05928910485","1419,5592903565516","1730328071,8362858","1730328071,4696314",2000
"31715,963091369045","1470,0295293366348","1730328071,8403332","1730328071,4696314",2000
"31762,70058902509","1483,932314387836","1730328071,844144","1730328071,4696314",2000
"31765,85218499329","1421,7944648020823","1730328071,8482563","1730328071,4696314",2000
"31730,46937352054","1412,3396768974874","1730328071,8523588","1730328071,4696314",2000
"31704,1837220411","1460,5523896875848","1730328071,8551447","1730328071,4696314",2000
"31745,08741439431","1487,061558611579","1730328071,8592098","1730328071,4696314",2000
"31765,494557082005","1440,5252266556297","1730328071,864168","1730328071,4696314",2000
"31722,84742866128","1409,322191396021","1730328071,868226","1730328071,4696314",2000
"31698,37226848272","1450,0247180491351","1730328071,8721447","1730328071,4696314",2000
"31732,90571366617","1482,3676922759644","1730328071,8762944","1730328071,4696314",2000
"31757,93966745612","1440,1005435109787","1730328071,8791404","1730328071,4696314",2000
"31729,575303742327","1404,002476215658","1730328071,8833551","1730328071,4696314",2000
"31702,619099929227","1440,5922818889956","1730328071,88733","1730328071,4696314",2000
"31736,8396206903","1494,7729104486598","1730328071,8913643","1730328071,4696314",2000
"31771,68599029613","1463,3687094889533","1730328071,896383","1730328071,4696314",2000
"31744,23804810501","1408,2940111510768","1730328071,9003513","1730328071,4696314",2000
"31704,56370169684","1431,606880617962","1730328071,904296","1730328071,4696314",2000
"31717,0359751029","1478,3443782740092","1730328071,9073029","1730328071,4696314",2000
"31766,567440815863","1473,0693665825568","1730328071,9113476","1730328071,4696314",2000
"31750,76475748596","1411,8926420083812","1730328071,915311","1730328071,4696314",2000
"31700,786256883894","1412,1161594529342","1730328071,919356","1730328071,4696314",2000
"31709,57049245483","1474,477526483241","1730328071,9243932","1730328071,4696314",2000
